fl1,Jasmine                                   ,300
fl2,California Gold                           ,350
fl3,Orange King                               ,350
fl4,Royal Bengal Red                          ,450
fl5,Pink Orchid                               ,450
fl6,Yellow Hibiscus                           ,450
fl7,Red Lxora                                 ,475
fl8,Exotic Rose Plant                         ,500
fl9,Night Queen                               ,650
fl10,Magnolia Genie                            ,750
