f1,Earth Star Plant                          ,295
f2,Pixie Plant                               ,295
f3,Peace Lily                                ,325
f4,Peperomia Green Plant                     ,325
f5,Betel Leaf                                ,325
f6,Christmas Cactus Plant                    ,325
f7,Bamboo Palm Plant                         ,475
f8,Aglaonema Pink Beauty Plant               ,595
f9,Rubber Plant                              ,1195
f10,Calathea Medallion Plant                  ,1495
