i1,Grape Ivy                                 ,349
i2,Croton Plant                              ,449
i3,Aelo Vera                                 ,449
i4,Dracaena Colorama                         ,449
i5,Pachyveria Scheideckeri(Succulent Plant)  ,599
i6,Poinsettia Plant                          ,745
i7,Anthurium                                 ,749
i8,Dendrodium Orchid                         ,799
i9,Alocasia Black Velvet                     ,875
i10,Jade Bonsai                               ,1449
