l1,Chlorophytum Spider Plant                 ,275
l2,Aloe Vera Mini Plant                      ,295
l3,Aralia Golden Plant                       ,295
l4,Money Plant                               ,295
l5,Prayer Plant                              ,325
l6,Ajwain Plant                              ,345
l7,Areca Palm                                ,445
l8,Snake Plant                               ,575
l9,Haworthia Limifolia Variegated            ,795
l10,Cobra Fern Plant                          ,1295
